Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_tikhonov,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,GHI,1.0,0.5,0,,,,45.00616062200489,0.7463756808178461,-0.16101795391827448,0.24572396794613086,0.9205767065596473,0.7152041835986277,0.8023832024026709,0.8665802076191077,0.7947225312068021
ELM,GHI,1.0,0.5,27000,500.0,100.0,25.0,38.11820796476575,0.6321468667413491,0.08463526260703537,0.26254570309772374,0.9430270233305285,0.7641655261016302,0.6795827360947024,0.78908241903595,0.7442768937440943
Persistence_P,GHI,1.0,0.5,0,,,,56.090606691712416,0.9301985367875164,-0.31419432152124993,0.3435717709448286,0.8766371951101244,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,0.5,0,,,,63.145003519053525,1.047187636990648,0.0006352123876905767,0.23244353576073262,0.84365573903023,0.676550157544983,1.1257678824212722,1.370736200597648,1.0576847468546344
BLEND_opti,GHI,1.0,1.0,0,,,,56.27767545961802,0.933300858271412,-0.1320989854443667,0.26853911531129343,0.8758129640282935,0.4551577348195518,0.6012030684238411,0.74930188679301,0.6018875633454677
ELM,GHI,1.0,1.0,27000,500.0,100.0,25.0,48.14107042352476,0.7983645731178021,0.09196414645205564,0.3341417312632012,0.9091268786479005,0.5663502441130074,0.5142813561409267,0.6221957840851928,0.5676091281130423
Persistence_P,GHI,1.0,1.0,0,,,,93.60843018842166,1.5523887140466919,-0.562152803427707,0.5899913255736636,0.6564152457951212,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,1.0,0,,,,63.145003519053525,1.047187636990648,0.0006352123876905767,0.23244353576073262,0.84365573903023,0.39397788693710345,0.6745653504919461,0.9075304393614222,0.6586912255968239
BLEND_opti,GHI,1.0,3.0,0,,,,61.9552970788971,1.0274577168647583,-0.0766425855383485,0.25088292668055656,0.8494915622294806,0.24481786651457174,0.36920443118604823,0.4787101165003745,0.3642441380669981
ELM,GHI,1.0,3.0,27000,500.0,100.0,25.0,62.62673523177558,1.038592750414737,0.14725674316064363,0.4317281166944889,0.8462116260980966,0.4212911489910891,0.37320567003079824,0.4230412045917641,0.4058460078712171
Persistence_P,GHI,1.0,3.0,0,,,,167.8075663389771,2.782896493317019,-0.8883187781519267,1.0247737644818655,-0.10414735993383961,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,3.0,0,,,,63.145003519053525,1.047187636990648,0.0006352123876905767,0.23244353576073262,0.84365573903023,0.22682424532819503,0.37629413796216094,0.49381944759911756,0.3656459436298245
BLEND_opti,GHI,1.0,6.0,0,,,,62.03645585552737,1.0288036423186204,-0.07612436671172838,0.2510717360836217,0.8490969847882072,0.10809060085155033,0.23212426525126154,0.3413391331232442,0.22718466640868537
ELM,GHI,1.0,6.0,27000,500.0,100.0,25.0,63.43886188988396,1.0520609418573903,0.1657887833135362,0.44744017533693914,0.8421971921919005,0.1926305133015239,0.23737170348446862,0.30276339218874226,0.24425520299157824
Persistence_P,GHI,1.0,6.0,0,,,,267.2553676728987,4.432124496786228,0.38242592284856824,2.3227897162718065,-1.8006370730025218,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,6.0,0,,,,63.145003519053525,1.047187636990648,0.0006352123876905767,0.23244353576073262,0.84365573903023,0.10007084762447463,0.236272161973332,0.3513386991470824,0.22922723624829633
BLEND_opti,GHI,1.0,10.0,0,,,,62.0506365743001,1.0285894758386493,-0.07632236734135829,0.251419239155895,0.8490881861259381,0.03780775328839615,0.1116420003411254,0.1862883457722164,0.11191269980057932
ELM,GHI,1.0,10.0,27000,500.0,100.0,25.0,63.419605342929245,1.0512823432434446,0.15322415957859076,0.4346507136628332,0.8423558617600528,0.06536161275470317,0.11410505987076099,0.16672422997255001,0.11539696753267141
Persistence_P,GHI,1.0,10.0,0,,,,555.8001145151696,9.213284182438187,4.713194794774847,6.649938631319304,-11.107877556988347,1.0,1.0,1.0,1.0
Persistence_Pcyclic,GHI,1.0,10.0,0,,,,63.15946920263007,1.0469701667538993,0.0006397630608127424,0.23244352431483342,0.8436464668242968,0.03495423600153107,0.11363702085186642,0.19174542453166607,0.11344556046168786
