Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_huber,delta_huber,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,GHI,1.0,0.5,0,,,,,60.902984618483146,0.42457839584449425,-0.014106291841945071,0.2032503734132351,0.928551659741187,0.8953823807110426,0.9316575319899704,0.9441251580627641,0.9237216902545923
ELM,GHI,1.0,0.5,27000,500.0,100.0,10.0,23.705616970542422,55.902352814847454,0.38971704639344856,0.00781392180737337,0.17206806688191015,0.9398029559702313,0.7580144271412159,0.8551608493766214,0.8945970146910639,0.8359240970696337
Persistence_P,GHI,1.0,0.5,0,,,,,65.36023992354235,0.4556516563611401,-0.001094916406653295,0.22608992851680365,0.9177109085000353,0.9959978673130594,0.9998419650349873,0.9999934265352141,0.9986110862944203
Persistence_Pcyclic,GHI,1.0,0.5,0,,,,,125.78746771277903,0.876913366288862,-0.001620100747441161,0.4064286234639866,0.6952177010550731,1.7904470351275603,1.9242216528250429,1.863439530471063,1.859369406141222
BLEND_opti,GHI,1.0,1.0,0,,,,,77.976296661644,0.5436030952816014,-0.03106596543229093,0.271458375291554,0.8828775353554388,0.7553443733410765,0.8320769298784464,0.8733300059944213,0.8202504364046481
ELM,GHI,1.0,1.0,27000,500.0,100.0,25.0,31.058595191826257,68.06129314374897,0.4744817490160391,0.01112867226679979,0.22165478060074487,0.9107690771229242,0.6167637715031024,0.7262749613301986,0.7953252421806963,0.7127879916713326
Persistence_P,GHI,1.0,1.0,0,,,,,93.56031834043505,0.6522453722838828,-0.005562939650215017,0.35404415289870267,0.831384158687682,0.9851427811690117,0.9983724000251587,0.9997668329906175,0.994427338061596
Persistence_Pcyclic,GHI,1.0,1.0,0,,,,,125.78746771277903,0.876913366288862,-0.001620100747441161,0.4064286234639866,0.6952177010550731,1.1309047789318032,1.3422649501526953,1.4159335545291623,1.2963677612045537
BLEND_opti,GHI,1.0,3.0,0,,,,,105.0103782613883,0.731984567134974,-0.0612078356844394,0.3629235341009414,0.7876024563169378,0.440023090879256,0.5428159178539252,0.611080811061602,0.5313066065982611
ELM,GHI,1.0,3.0,27000,500.0,100.0,25.0,49.23848795784402,88.1382996998828,0.6143761809260468,0.02765908422117692,0.30486114050721735,0.8503714799140967,0.3696259094006573,0.4556013685674702,0.5162392474436429,0.4471555084705902
Persistence_P,GHI,1.0,3.0,0,,,,,186.9363044059659,1.3030568228390613,-0.08766698018074288,0.7375759395068033,0.3269112222669631,0.8942667371074541,0.9663045056724248,0.9852181762594467,0.9485964730131086
Persistence_Pcyclic,GHI,1.0,3.0,0,,,,,125.79465289929921,0.8768632784198341,-0.0016201007474411617,0.40642862346398667,0.695203899474063,0.492770411159624,0.6502532521564721,0.7455361239845161,0.629519929100204
BLEND_opti,GHI,1.0,6.0,0,,,,,118.65631073902036,0.8269630624809575,-0.08566864135785575,0.4001137571361535,0.7288423858155016,0.28230564331049324,0.3869794727486102,0.45170306556444884,0.37366272720785076
ELM,GHI,1.0,6.0,27000,500.0,100.0,25.0,53.72131078604193,99.54534475430317,0.693771133124149,0.04643333618392748,0.3486801706939462,0.8091544526333729,0.24601598455878917,0.3246519699430604,0.3739080787551936,0.3148586777523477
Persistence_P,GHI,1.0,6.0,0,,,,,267.7677800522861,1.866180248202736,-0.38487638927587026,1.0329034124309977,-0.38088260205304225,0.7287788963095081,0.8732838034346846,0.9237319114165821,0.8419315370535916
Persistence_Pcyclic,GHI,1.0,6.0,0,,,,,125.8054329881199,0.8767881412512679,-0.0016201007474411619,0.4064286234639867,0.6951831888436828,0.2867611821898827,0.4102952453471435,0.48282855989390266,0.39329499581030963
BLEND_opti,GHI,1.0,10.0,0,,,,,122.10747364681305,0.8508211060639322,-0.09617693908505254,0.40768509129634917,0.7128791598128372,0.21846389703301028,0.32897990767840385,0.396559593121336,0.3146677992775833
ELM,GHI,1.0,10.0,27000,500.0,100.0,25.0,55.96860418123426,101.63972921447859,0.7082058472557569,0.04997585866961908,0.3573473006483575,0.8010668209397375,0.19148967072999767,0.2738360538860419,0.3245939596041411,0.26330656140672687
Persistence_P,GHI,1.0,10.0,0,,,,,277.8241531383051,1.9358246158471515,-0.8116403467433019,1.055467340576627,-0.4863470402968033,0.5655872960186963,0.7485091740955515,0.8218673284221957,0.7119879328454811
Persistence_Pcyclic,GHI,1.0,10.0,0,,,,,125.81981075193693,0.8766879483425589,-0.0016201007474411612,0.4064286234639867,0.6951555592422209,0.21779060074375506,0.3389816240487486,0.41090268920040124,0.32255830466430163
