Method,quantity,LB_days,FH_hours,N_params,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
AR_OLS,PAC,1.0,0.5,53,256.46849096361143,0.18747431972902281,0.0003075876195491405,0.07512276474935434,0.9802663178813731,0.45580228174713017,0.6426557907882517,0.7876405694731804,0.6286995473361875
BLEND_opti,PAC,1.0,0.5,0,315.00247226726685,0.23026171355156888,-0.007005649776876417,0.11427018535179588,0.9702307413275625,0.6933266020332899,0.7893295669755287,0.8699701766803847,0.7842087818964011
Persistence_P,PAC,1.0,0.5,0,398.8704055638868,0.2915678166240657,-0.0008919003187237766,0.16392246713332623,0.9522686492488827,0.9945884552875327,0.9994848682837228,0.9999364058792394,0.998003243150165
Persistence_Pcyclic,PAC,1.0,0.5,0,558.9295214557347,0.40856844214149235,3.9853070323664467e-05,0.1494639139553697,0.9062752711666823,0.906862164179065,1.4005591574093157,1.6387394106513296,1.31538691074657
AR_OLS,PAC,1.0,1.0,53,339.7776141344999,0.24837194163572193,0.0025103028378167013,0.1088177002510144,0.9653638493385157,0.3606534088033868,0.4908875712895492,0.6122062168230995,0.4879157323053452
BLEND_opti,PAC,1.0,1.0,0,411.27052430612576,0.30063210291134373,-0.012617177104729246,0.1474480622490298,0.949254765385908,0.48868562879843486,0.5941756620249179,0.6931798022813511,0.592013697701568
Persistence_P,PAC,1.0,1.0,0,688.2008698472952,0.5030637074627978,-0.007000801961224733,0.2947229516338432,0.8579077047553256,0.9767973125158046,0.99426577710021,0.997921352400588,0.9896614806722009
Persistence_Pcyclic,PAC,1.0,1.0,0,558.9295214557347,0.40856844214149235,3.9853070323664467e-05,0.1494639139553697,0.9062752711666823,0.49536674582127727,0.8075033312842866,1.0076971977200806,0.7701890916085482
AR_OLS,PAC,1.0,3.0,53,450.5432189470805,0.32930218600701217,0.0014214556920775284,0.1531655712720482,0.9391036510095098,0.18554997144642904,0.2613392832133878,0.32977695503985743,0.2588887365665581
BLEND_opti,PAC,1.0,3.0,0,518.6174026513708,0.3790576291293261,-0.03037419576332764,0.17138566244220454,0.9193113383697804,0.20762240827604184,0.30082596867764133,0.3784492723600225,0.29563254977123526
Persistence_P,PAC,1.0,3.0,0,1616.2544689615747,1.1813209197032972,-0.11743102318533653,0.7080370169230357,0.2163217064230295,0.8577400729289053,0.9375144639752429,0.9632860790996309,0.9195135386679264
Persistence_Pcyclic,PAC,1.0,3.0,0,558.9614484269689,0.4085451053748223,3.9853070323664467e-05,0.14946391395536973,0.9062692587415927,0.18106565813952924,0.3242276836775098,0.4266487611947837,0.3106473676706076
AR_OLS,PAC,1.0,6.0,53,484.35495694662416,0.3539545288445522,-0.004947352649701027,0.16554048757595785,0.929625842236023,0.11066937566898224,0.17518747898919593,0.2319615538618899,0.17260613617335605
BLEND_opti,PAC,1.0,6.0,0,550.6019521979808,0.40236618161131693,-0.04123897225521576,0.168206981741486,0.9090586898504537,0.1124520165736043,0.19914850988657012,0.2704743062615705,0.19402494424058161
Persistence_P,PAC,1.0,6.0,0,2282.958475494616,1.668329145755852,-0.4761993949891405,1.0200497760412335,-0.5634418657108284,0.681937533946008,0.8257285988775247,0.8803282133665346,0.7959981153966891
Persistence_Pcyclic,PAC,1.0,6.0,0,559.0093491439113,0.4085100977251638,3.9853070323664467e-05,0.14946391395536973,0.906260236080486,0.0999216462673122,0.20218940098243918,0.2799295302373915,0.19401352582904763
AR_OLS,PAC,1.0,10.0,53,487.0164866161922,0.3558259839150227,-0.006240683654203199,0.16681756793150335,0.9288588888165312,0.08498492435975244,0.15147517972922958,0.20968353881469104,0.1487145476345577
BLEND_opti,PAC,1.0,10.0,0,556.274709509324,0.40642771092508984,-0.049321741104015035,0.16392308915597809,0.9071863293133984,0.08351033710345143,0.17301634321910514,0.24779217281049937,0.1681062843776853
Persistence_P,PAC,1.0,10.0,0,2305.972857421792,1.6847993516081616,-0.9326608659331518,1.032234309708575,-0.5949302676107746,0.525870001702368,0.7172193603867982,0.7982339881975088,0.680441116762225
Persistence_Pcyclic,PAC,1.0,10.0,0,559.0731270921864,0.4084723022627376,4.257784994122013e-05,0.14946447071619037,0.9062501561921633,0.07614441869516711,0.17388672608697625,0.25169866272501923,0.1672432691690542
