Method,quantity,LB_days,FH_hours,N_params,n_hidden,n_candidates,lambda_lp,p_lp,RMSE,nRMSE,nMBE,nMAE,R2,NICE1,NICE2,NICE3,NICE_Sigma
BLEND_opti,PAC,1.0,0.5,0,,,,,43.077687911323565,0.4282846959583498,-0.009159439328762066,0.18325972432028673,0.9231803572812758,0.8819568754515298,0.9305977417843699,0.9392140510727773,0.917256222769559
ELM,PAC,1.0,0.5,27000,500.0,100.0,10.0,1.25,39.38366398425495,0.3915581678836716,-0.0057932046121977705,0.14522154314724023,0.9357904321898673,0.6988940909817315,0.8507965618393375,0.8980754115909049,0.8159220214706581
Persistence_P,PAC,1.0,0.5,0,,,,,46.283020501651144,0.46015258303529244,-0.0010057385951016823,0.20719425879660233,0.9113230188914881,0.9971443631573674,0.9998418311228463,0.9999902504938738,0.9989921482580293
Persistence_Pcyclic,PAC,1.0,0.5,0,,,,,92.96111969132774,0.924233096374758,0.0011529346076856427,0.38131263589250375,0.6422577748963955,1.8351075347804129,2.0082184595556236,1.6247265901050254,1.8226841948136874
BLEND_opti,PAC,1.0,1.0,0,,,,,58.1070691626668,0.5777090103023339,-0.020512312394859164,0.2631992388107461,0.8602263026550429,0.7380210816271271,0.8400802231338584,0.8984823693143472,0.8255278913584442
ELM,PAC,1.0,1.0,27000,500.0,100.0,25.0,1.25,49.12738846811215,0.48843170684103415,-0.004963855398528725,0.1997553673361168,0.9000886404822485,0.5601219552471057,0.7102569112673741,0.7956823000297965,0.6886870555147587
Persistence_P,PAC,1.0,1.0,0,,,,,69.0699162360481,0.6867032449819254,-0.00509644670443438,0.35204835135650314,0.8025098814660933,0.9871575093725737,0.9985750697730287,0.9998604727583814,0.9951976839679947
Persistence_Pcyclic,PAC,1.0,1.0,0,,,,,92.96111969132774,0.924233096374758,0.0011529346076856427,0.38131263589250375,0.6422577748963955,1.0692157213335627,1.3439810215594052,1.3043912019247546,1.2391959816059075
BLEND_opti,PAC,1.0,3.0,0,,,,,79.49868243979368,0.7902972805326095,-0.05721238334037396,0.36446383389886683,0.7383874704837254,0.4171552530615884,0.5492976717427853,0.6609372811738852,0.542463401992753
ELM,PAC,1.0,3.0,27000,500.0,100.0,25.0,1.25,66.67463577904508,0.6628132909823644,0.00879917312280635,0.30587132115434745,0.8159821374254471,0.35009187884422593,0.4606896752718399,0.5700459589791866,0.4602758376984175
Persistence_P,PAC,1.0,3.0,0,,,,,138.5796354036349,1.3776216867447424,-0.10158723347888513,0.7726799527208801,0.2050542226280161,0.8843881648414418,0.9575186498949765,0.9801459599786049,0.940684258238341
Persistence_Pcyclic,PAC,1.0,3.0,0,,,,,92.96642978299467,0.9241803056795057,0.0011529346076856427,0.38131263589250375,0.6422406573613134,0.4364399271656053,0.6423533304304991,0.7730003540731155,0.6172645372230733
BLEND_opti,PAC,1.0,6.0,0,,,,,88.13305206068853,0.8759815018182582,-0.09326899442602464,0.39626330993444897,0.6785058701893576,0.2627267075174944,0.3964651186327719,0.5044680606335816,0.3878866289279493
ELM,PAC,1.0,6.0,27000,500.0,100.0,25.0,1.25,73.54398396369186,0.7309762684475152,0.015100675178485396,0.3586630095589495,0.776133178971823,0.23779731619696576,0.33083643020570525,0.41810048284467144,0.32891140974911415
Persistence_P,PAC,1.0,6.0,0,,,,,188.11560233074346,1.869738809585979,-0.4468939525587303,1.0620046757466035,-0.464687793897099,0.7041201767411804,0.8462350145706606,0.8983306532843583,0.8162286148653998
Persistence_Pcyclic,PAC,1.0,6.0,0,,,,,92.97439662695271,0.9241011139820972,0.0011529346076856466,0.38131263589250375,0.6422149706507863,0.25281425469197966,0.41824382937666327,0.5373033078237573,0.4027871306308001
BLEND_opti,PAC,1.0,10.0,0,,,,,89.91208555437703,0.8934596316789162,-0.11359708665833743,0.39866696496215215,0.6654400865928932,0.20663234277299125,0.34721405141799944,0.4556751690887398,0.3365071877599102
ELM,PAC,1.0,10.0,27000,500.0,100.0,25.0,1.25,74.4748261120524,0.7400590287407298,0.019707800535751604,0.3654464646347284,0.7704608569642322,0.18941388623145622,0.28759989208990044,0.37484706760655245,0.283953615309303
Persistence_P,PAC,1.0,10.0,0,,,,,189.23500686012346,1.8804350770814966,-0.8803712637524692,1.0490403978288059,-0.48197446518015874,0.5437262028657323,0.7307699848901769,0.8071710344769295,0.6938890740776129
Persistence_Pcyclic,PAC,1.0,10.0,0,,,,,92.98502227231619,0.9239955144943813,0.0011529346076856431,0.38131263589250375,0.6421807022611489,0.19763745233040012,0.3590808299607072,0.4773728649195171,0.34469704907020815
